,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed,Sunrise,Sunset
251,morant bay,20,JM,1581917277,78,77.0,17.88,-76.41,8.05,1581939126,1581980852
252,bathsheba,40,BB,1581917277,78,77.0,13.22,-59.52,16.11,1581934820,1581977052
253,leningradskiy,48,RU,1581917278,93,-22.81,69.38,178.42,3.65,1581885066,1581912599
254,barbacena,99,BR,1581917017,97,65.05,-21.23,-43.77,9.48,1581929187,1581975125
255,tecoanapa,0,MX,1581917278,82,74.68,16.52,-98.75,3.11,1581858040,1581899868
256,broken hill,0,AU,1581917278,14,92.5,-31.95,141.43,12.44,1581883990,1581931429
257,ukiah,1,US,1581917278,81,50.0,39.15,-123.21,3.6,1581865431,1581904217
258,ho chi minh city,40,VN,1581917260,55,89.6,10.75,106.67,5.82,1581894812,1581937291
259,touros,40,BR,1581917279,88,78.8,-5.2,-35.46,3.36,1581928088,1581972235
260,machala,99,EC,1581917279,78,76.77,-3.27,-79.97,1.43,1581938871,1581982816
261,otane,94,NZ,1581917279,61,78.01,-39.88,176.63,5.01,1581874863,1581923661
262,laguna,1,US,1581917279,71,55.4,38.42,-121.42,3.36,1581864941,1581903848
263,kailua,75,US,1581917011,60,75.2,21.4,-157.74,11.41,1581872474,1581913748
264,bengkulu,46,ID,1581917035,53,87.91,-3.8,102.27,6.4,1581895105,1581939111
265,alakurtti,100,RU,1581917280,94,28.99,66.97,30.35,11.01,1581919506,1581949229
266,teruel,27,ES,1581917280,93,48.2,40.67,-0.67,2.24,1581922502,1581961123
267,hami,100,CN,1581917280,34,27.36,42.8,93.45,4.61,1581900127,1581938321
268,aswan,60,EG,1581917281,52,57.4,24.09,32.91,7.18,1581913261,1581954246
269,qaqortoq,39,GL,1581917281,51,14.0,60.72,-46.03,3.36,1581936057,1581969339
270,sioux lookout,90,CA,1581917281,58,1.4,50.1,-91.92,3.36,1581859054,1581895576
271,tuatapere,73,NZ,1581917281,87,60.01,-46.13,167.68,8.99,1581876352,1581926468
272,beloha,0,MG,1581917281,48,87.01,-25.17,45.05,13.04,1581907612,1581954068
273,ruidoso,1,US,1581917281,26,52.0,33.33,-105.67,6.93,1581860766,1581900463
274,parabel,100,RU,1581917282,93,19.24,58.7,81.48,7.65,1581905100,1581939094
275,glen allen,40,US,1581917282,75,46.4,37.67,-77.51,3.74,1581940678,1581979828
276,puerto ayora,26,EC,1581917282,87,77.07,-0.74,-90.35,3.91,1581855095,1581898781
277,kenora,75,CA,1581917096,50,6.8,49.82,-94.43,9.17,1581859620,1581896214
